Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura,Chrome 110.0.0.0,,,2023-02-23 22:44:09,2023-02-23 22:44:40,31.348s,PASSED
,,,,,,,
Test Cases/Web/Login/Positive/TCP-LoginCura,Chrome 110.0.0.0,,,2023-02-23 22:44:09,2023-02-23 22:44:30,21.263s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-02-23 22:44:10,2023-02-23 22:44:21,11.665s,PASSED
navigateToUrl(url),Chrome 110.0.0.0,,,2023-02-23 22:44:21,2023-02-23 22:44:26,4.976s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 110.0.0.0,,,2023-02-23 22:44:26,2023-02-23 22:44:28,1.641s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 110.0.0.0,,,2023-02-23 22:44:28,2023-02-23 22:44:29,0.780s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 110.0.0.0,,,2023-02-23 22:44:29,2023-02-23 22:44:30,1.822s,PASSED
,,,,,,,
Test Cases/Web/Appointment/Positive/TCP-FillForm,Chrome 110.0.0.0,,,2023-02-23 22:44:31,2023-02-23 22:44:40,9.620s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 110.0.0.0,,,2023-02-23 22:44:31,2023-02-23 22:44:32,1.578s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 110.0.0.0,,,2023-02-23 22:44:32,2023-02-23 22:44:33,0.580s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 110.0.0.0,,,2023-02-23 22:44:33,2023-02-23 22:44:33,0.455s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 110.0.0.0,,,2023-02-23 22:44:33,2023-02-23 22:44:34,0.748s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/th_February 2023""))",Chrome 110.0.0.0,,,2023-02-23 22:44:34,2023-02-23 22:44:35,0.634s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/span_Feb""))",Chrome 110.0.0.0,,,2023-02-23 22:44:35,2023-02-23 22:44:36,0.919s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_15""))",Chrome 110.0.0.0,,,2023-02-23 22:44:36,2023-02-23 22:44:36,0.702s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""testing cura"")",Chrome 110.0.0.0,,,2023-02-23 22:44:36,2023-02-23 22:44:38,1.065s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 110.0.0.0,,,2023-02-23 22:44:38,2023-02-23 22:44:39,1.026s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), 0)",Chrome 110.0.0.0,,,2023-02-23 22:44:39,2023-02-23 22:44:39,0.535s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 110.0.0.0,,,2023-02-23 22:44:39,2023-02-23 22:44:40,0.889s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-02-23 22:44:40,2023-02-23 22:44:40,0.167s,PASSED
